Guillermo Varela Olivera,23,Uruguay,Defence - Right-Back,right,375k,30,GT Talents World,http://www.transfermarkt.co.uk//guillermo-varela/profil/spieler/188862
Raheem Shaquille Sterling,21,England,Striker - Left Wing,right,37.50m,7,Adrian Ward,http://www.transfermarkt.co.uk//raheem-sterling/profil/spieler/134425
Diego da Silva Costa,27,Spain,Striker - Centre Forward,right,33.75m,19,Gestifute,http://www.transfermarkt.co.uk//diego-costa/profil/spieler/44779
Wayne Mark Rooney,30,England,Striker - Secondary Striker,right,30.00m,10,First Artist Corporation Plc.,http://www.transfermarkt.co.uk//wayne-rooney/profil/spieler/3332
Roberto Firmino Barbosa de Oliveira,24,Brazil,Striker - Secondary Striker,right,26.25m,11,ROGON,http://www.transfermarkt.co.uk//roberto-firmino/profil/spieler/131789
David de Gea Quintana,25,Spain,Goalkeeper,right,26.25m,1,Relatives,http://www.transfermarkt.co.uk//david-de-gea/profil/spieler/59377
Romelu Menama Lukaku Bolingoli,22,Belgium,Striker - Centre Forward,left,26.25m,10,Mino Raiola,http://www.transfermarkt.co.uk//romelu-lukaku/profil/spieler/96341
Philippe Coutinho Correia,23,Brazil,Midfield - Attacking Midfield,right,24.00m,10,Mondial Sport,http://www.transfermarkt.co.uk//coutinho/profil/spieler/80444
Willian Borges da Silva,27,Brazil,Midfield - Right Wing,right,24.00m,22,KICK & RUN SPORTS,http://www.transfermarkt.co.uk//willian/profil/spieler/52769
Aaron James Ramsey,25,Wales,Midfield - Central Midfield,both,22.50m,16,Base Soccer Agency Ltd,http://www.transfermarkt.co.uk//aaron-ramsey/profil/spieler/50057
Harry Edward Kane,22,England,Striker - Centre Forward,right,22.50m,10,not informed,http://www.transfermarkt.co.uk//harry-kane/profil/spieler/132098
Anthony Joran Martial,20,France,Striker - Centre Forward,right,22.50m,9,USFA Management,http://www.transfermarkt.co.uk//anthony-martial/profil/spieler/182877
Vincent Jean Mpoy Kompany,30,Belgium,Defence - Centre Back,right,22.50m,4,Eleven Management,http://www.transfermarkt.co.uk//vincent-kompany/profil/spieler/9594
Christian Benteke Liolo,25,Belgium,Striker - Centre Forward,right,22.50m,9,Eris Kismet,http://www.transfermarkt.co.uk//christian-benteke/profil/spieler/50201
Christian Dannemann Eriksen,24,Denmark,Midfield - Attacking Midfield,right,21.75m,23,The Talents Sportsmanagement Ltd,http://www.transfermarkt.co.uk//christian-eriksen/profil/spieler/69633
Jordan Brian Henderson,25,England,Midfield - Central Midfield,right,21.00m,14,Key Sports Managment Ltd.,http://www.transfermarkt.co.uk//jordan-henderson/profil/spieler/61651
Fernando Luis Roza,31,Brazil,Midfield - Central Midfield,right,21.00m,25,Mondial Sport,http://www.transfermarkt.co.uk//fernandinho/profil/spieler/26267
Daniel Andre Sturridge,26,England,Striker - Centre Forward,left,18.75m,15,octagon,http://www.transfermarkt.co.uk//daniel-sturridge/profil/spieler/47082
Theo James Walcott,27,England,Striker - Right Wing,both,18.75m,14,Key Sports Managment Ltd.,http://www.transfermarkt.co.uk//theo-walcott/profil/spieler/33713
Jack Andrew Garry Wilshere,24,England,Midfield - Central Midfield,left,18.75m,10,Base Soccer Agency Ltd,http://www.transfermarkt.co.uk//jack-wilshere/profil/spieler/74223
Wilfried Guemiand Bony,27,Cote d'Ivoire,Striker - Centre Forward,right,17.25m,14,IFMM,http://www.transfermarkt.co.uk//wilfried-bony/profil/spieler/81808
Tobias Albertine Maurits Alderweireld,27,Belgium,Defence - Centre Back,right,16.50m,4,Not clarified,http://www.transfermarkt.co.uk//toby-alderweireld/profil/spieler/42710
Luke Paul Hoare Shaw,20,England,Defence - Left-Back,left,15.75m,23,Stellar Football Ltd,http://www.transfermarkt.co.uk//luke-shaw/profil/spieler/183288
