,name,img_url,position,mkt_value,age,season,from_,to,transf_val
0,Gareth Bale,http://akacdn.transfermarkt.de/images/portrait/medium/39381-1413206659.jpg?lm=1433144513,Right Wing,£37.50m,24,13/14,Spurs,Real Madrid,£75.75m
1,Neymar,http://akacdn.transfermarkt.de/images/portrait/medium/68290-1444921132.jpg?lm=1444921159,Left Wing,£37.50m,24,09/10,Manchester Utd.,Real Madrid,£70.50m
2,James Rodríguez,http://akacdn.transfermarkt.de/images/portrait/medium/88103-1413206716.jpg?lm=1433145041,Left Wing,£37.50m,21,13/14,Santos FC,FC Barcelona,£66.15m
3,Kevin De Bruyne,http://akacdn.transfermarkt.de/images/portrait/medium/88755-1443518589.jpg?lm=1443518619,Centre Forward,£37.50m,27,14/15,Liverpool,FC Barcelona,£60.75m
4,Zlatan Ibrahimovic,http://akacdn.transfermarkt.de/images/portrait/medium/3455-1450105043.jpg?lm=1450105079,Attacking Midfield,£37.50m,23,14/15,Monaco,Real Madrid,£60.00m
5,Edinson Cavani,http://akacdn.transfermarkt.de/images/portrait/medium/48280-1457537531.jpg?lm=1457537556,Right Wing,£37.50m,26,14/15,Real Madrid,Manchester Utd.,£56.25m
6,Raheem Sterling,http://akacdn.transfermarkt.de/images/portrait/medium/134425-1444713982.jpg?lm=1444714029,Attacking Midfield,£37.50m,24,15/16,VfL Wolfsburg,Manchester City,£55.50m
7,Fernando Torres,http://akacdn.transfermarkt.de/images/portrait/medium/7767-1447152963.jpg?lm=1447153015,Attacking Midfield,£37.50m,29,01/02,Juventus,Real Madrid,£55.13m
8,Hulk,http://akacdn.transfermarkt.de/images/portrait/medium/80562-1454079392.jpg?lm=1454079412,Centre Forward,£37.50m,27,09/10,Inter,FC Barcelona,£52.13m
9,Alex Teixeira,http://akacdn.transfermarkt.de/images/portrait/medium/66515-1454413290.jpg?lm=1454413353,Attacking Midfield,£37.50m,27,09/10,AC Milan,Real Madrid,£48.75m
10,David Luiz,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_46741_631_2013_08_08_1.jpg?lm=0,Centre Forward,£37.50m,26,13/14,SSC Napoli,Paris SG,£48.38m
11,Christian Benteke,http://akacdn.transfermarkt.de/images/portrait/medium/50201-1410951019.jpg?lm=1433144673,Right Wing,£37.50m,27,15/16,Manchester Utd.,Paris SG,£47.25m
12,Mesut Özil,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_35664_11_2013_09_05_1.jpg?lm=0,Left Wing,£37.50m,20,15/16,Liverpool,Manchester City,£46.88m
13,Cristiano Ronaldo,http://akacdn.transfermarkt.de/images/portrait/medium/8198-1413207036.jpg?lm=1433144984,Right Wing,£37.50m,27,00/01,FC Barcelona,Real Madrid,£45.00m
14,Luis Suárez,http://akacdn.transfermarkt.de/images/portrait/medium/44352-1453896733.jpg?lm=1453896745,Centre Forward,£37.50m,26,10/11,Liverpool,Chelsea FC,£43.88m
